GAME_ID,GAME_DT,PARK_ID
ARI201210020,121002,PHO01
ARI201210030,121003,PHO01
ARI201304010,20130401,PHO01
ARI201304020,20130402,PHO01
ARI201304030,20130403,PHO01
ARI201304080,20130408,PHO01
ARI201304090,20130409,PHO01
ARI201304100,20130410,PHO01
ARI201304120,20130412,PHO01
ARI201304130,20130413,PHO01
ARI201304140,20130414,PHO01
ARI201304250,20130425,PHO01
ARI201304260,20130426,PHO01
ARI201304270,20130427,PHO01
ARI201304280,20130428,PHO01
ARI201304290,20130429,PHO01
ARI201304300,20130430,PHO01
ARI201305010,20130501,PHO01
ARI201305090,20130509,PHO01
ARI201305100,20130510,PHO01
ARI201305110,20130511,PHO01
ARI201305120,20130512,PHO01
ARI201305130,20130513,PHO01
ARI201305140,20130514,PHO01
ARI201305150,20130515,PHO01
ARI201305240,20130524,PHO01
ARI201305250,20130525,PHO01
ARI201305260,20130526,PHO01
ARI201305271,20130527,PHO01
ARI201305272,20130527,PHO01
ARI201306070,20130607,PHO01
ARI201306080,20130608,PHO01
ARI201306090,20130609,PHO01
ARI201306170,20130617,PHO01
ARI201306180,20130618,PHO01
ARI201306190,20130619,PHO01
ARI201306210,20130621,PHO01
ARI201306220,20130622,PHO01
ARI201306230,20130623,PHO01
ARI201307050,20130705,PHO01
ARI201307060,20130706,PHO01
ARI201307070,20130707,PHO01
ARI201307080,20130708,PHO01
ARI201307090,20130709,PHO01
ARI201307100,20130710,PHO01
ARI201307110,20130711,PHO01
ARI201307120,20130712,PHO01
ARI201307130,20130713,PHO01
ARI201307140,20130714,PHO01
ARI201307220,20130722,PHO01
ARI201307230,20130723,PHO01
ARI201307240,20130724,PHO01
ARI201307250,20130725,PHO01
ARI201307260,20130726,PHO01
ARI201307270,20130727,PHO01
ARI201307280,20130728,PHO01
ARI201308060,20130806,PHO01
ARI201308070,20130807,PHO01
ARI201308090,20130809,PHO01
ARI201308100,20130810,PHO01
ARI201308110,20130811,PHO01
ARI201308120,20130812,PHO01
ARI201308130,20130813,PHO01
ARI201308140,20130814,PHO01
ARI201308260,20130826,PHO01
ARI201308270,20130827,PHO01
ARI201308280,20130828,PHO01
ARI201308300,20130830,PHO01
ARI201308310,20130831,PHO01
ARI201309010,20130901,PHO01
ARI201309020,20130902,PHO01
ARI201309030,20130903,PHO01
ARI201309040,20130904,PHO01
ARI201309130,20130913,PHO01
ARI201309140,20130914,PHO01
ARI201309150,20130915,PHO01
ARI201309160,20130916,PHO01
ARI201309170,20130917,PHO01
ARI201309180,20130918,PHO01
ARI201309190,20130919,PHO01
ARI201309270,20130927,PHO01
ARI201309280,20130928,PHO01
ARI201309290,20130929,PHO01
ATL201004050,100405,ATL02
ATL201004070,100407,ATL02
ATL201004080,100408,ATL02
ATL201004160,100416,ATL02
ATL201004170,100417,ATL02
ATL201004180,100418,ATL02
ATL201004200,100420,ATL02
ATL201004210,100421,ATL02
ATL201004220,100422,ATL02
ATL201004300,100430,ATL02
ATL201005010,100501,ATL02
ATL201005020,100502,ATL02
ATL201005140,100514,ATL02
ATL201005150,100515,ATL02
ATL201005160,100516,ATL02
ATL201005170,100517,ATL02
ATL201005180,100518,ATL02
ATL201005190,100519,ATL02
ATL201005200,100520,ATL02
ATL201005280,100528,ATL02
ATL201005290,100529,ATL02
ATL201005300,100530,ATL02
ATL201005310,100531,ATL02
ATL201006010,100601,ATL02
ATL201006020,100602,ATL02
ATL201006150,100615,ATL02
ATL201006160,100616,ATL02
ATL201006170,100617,ATL02
ATL201006180,100618,ATL02
ATL201006190,100619,ATL02
ATL201006200,100620,ATL02
ATL201006250,100625,ATL02
ATL201006260,100626,ATL02
ATL201006270,100627,ATL02
ATL201006280,100628,ATL02
ATL201006290,100629,ATL02
ATL201006300,100630,ATL02
ATL201007020,100702,ATL02
ATL201007030,100703,ATL02
ATL201007040,100704,ATL02
ATL201007150,100715,ATL02
ATL201007160,100716,ATL02
ATL201007170,100717,ATL02
ATL201007180,100718,ATL02
ATL201007200,100720,ATL02
ATL201007210,100721,ATL02
ATL201007220,100722,ATL02
ATL201008020,100802,ATL02
ATL201008030,100803,ATL02
ATL201008040,100804,ATL02
ATL201008050,100805,ATL02
ATL201008060,100806,ATL02
ATL201008070,100807,ATL02
ATL201008080,100808,ATL02
ATL201008130,100813,ATL02
ATL201008140,100814,ATL02
ATL201008150,100815,ATL02
ATL201008160,100816,ATL02
ATL201008170,100817,ATL02
ATL201008180,100818,ATL02
ATL201008190,100819,ATL02
ATL201008270,100827,ATL02
ATL201008280,100828,ATL02
ATL201008290,100829,ATL02
ATL201008300,100830,ATL02
ATL201008310,100831,ATL02
ATL201009010,100901,ATL02
ATL201009020,100902,ATL02
ATL201009090,100909,ATL02
ATL201009100,100910,ATL02
ATL201009110,100911,ATL02
ATL201009120,100912,ATL02
ATL201009130,100913,ATL02
ATL201009140,100914,ATL02
ATL201009150,100915,ATL02
ATL201009270,100927,ATL02
ATL201009280,100928,ATL02
ATL201009290,100929,ATL02
ATL201010010,101001,ATL02
ATL201010020,101002,ATL02
ATL201010030,101003,ATL02
ATL201010100,101010,ATL02
ATL201010110,101011,ATL02
ATL201104080,20110408,ATL02
ATL201104090,20110409,ATL02
ATL201104100,20110410,ATL02
ATL201104120,20110412,ATL02
ATL201104130,20110413,ATL02
ATL201104140,20110414,ATL02
ATL201104161,20110416,ATL02
ATL201104162,20110416,ATL02
ATL201104170,20110417,ATL02
ATL201104290,20110429,ATL02
ATL201104300,20110430,ATL02
ATL201105010,20110501,ATL02
ATL201105020,20110502,ATL02
ATL201105041,20110504,ATL02
ATL201105042,20110504,ATL02
ATL201105050,20110505,ATL02
ATL201105100,20110510,ATL02
ATL201105110,20110511,ATL02
ATL201105120,20110512,ATL02
ATL201105130,20110513,ATL02
ATL201105140,20110514,ATL02
ATL201105150,20110515,ATL02
ATL201105160,20110516,ATL02
ATL201105170,20110517,ATL02
ATL201105270,20110527,ATL02
ATL201105280,20110528,ATL02
ATL201105290,20110529,ATL02
ATL201105300,20110530,ATL02
ATL201105310,20110531,ATL02
ATL201106010,20110601,ATL02
ATL201106140,20110614,ATL02
ATL201106150,20110615,ATL02
ATL201106160,20110616,ATL02
ATL201106170,20110617,ATL02
ATL201106180,20110618,ATL02
ATL201106190,20110619,ATL02
